Vivado Simulator 2018.1
Time resolution is 1 ps
 Time Clk Rstb Valid Ready Last Data
     730.0ns 0 0 0 1 0 00000000000000000000000000011111
     735.0ns 1 0 0 1 0 00000000000000000000000000011111
     740.0ns 0 0 0 1 0 00000000000000000000000000011111
     745.0ns 1 0 0 1 0 00000000000000000000000000011111
     750.0ns 0 0 0 1 0 00000000000000000000000000011111
     755.0ns 1 0 0 1 0 00000000000000000000000000011111
     760.0ns 0 0 0 1 0 00000000000000000000000000011111
     765.0ns 1 0 0 1 0 00000000000000000000000000011111
     770.0ns 0 0 0 1 0 00000000000000000000000000011111
     775.0ns 1 0 0 1 0 00000000000000000000000000011111
     780.0ns 0 1 0 1 0 00000000000000000000000000011111
     785.0ns 1 1 0 1 0 00000000000000000000000000011111
     790.0ns 0 1 0 1 0 00000000000000000000000000011111
     795.0ns 1 1 0 1 0 00000000000000000000000000011111
     800.0ns 0 1 0 1 0 00000000000000000000000000011111
     805.0ns 1 1 0 1 0 00000000000000000000000000011111
     810.0ns 0 1 0 1 0 00000000000000000000000000011111
     815.0ns 1 1 0 1 0 00000000000000000000000000011111
     820.0ns 0 1 0 1 0 00000000000000000000000000011111
     825.0ns 1 1 0 1 0 00000000000000000000000000011111
     830.0ns 0 1 0 1 0 00000000000000000000000000011111
     835.0ns 1 1 0 1 0 00000000000000000000000000011111
     840.0ns 0 1 0 1 0 00000000000000000000000000011111
     845.0ns 1 1 0 1 0 00000000000000000000000000011111
     850.0ns 0 1 0 1 0 00000000000000000000000000011111
     855.0ns 1 1 0 1 0 00000000000000000000000000011111
     860.0ns 0 1 0 1 0 00000000000000000000000000011111
     865.0ns 1 1 0 1 0 00000000000000000000000000011111
     870.0ns 0 1 0 1 0 00000000000000000000000000011111
     875.0ns 1 1 0 1 0 00000000000000000000000000011111
     880.0ns 0 1 0 1 0 00000000000000000000000000011111
     885.0ns 1 1 0 1 0 00000000000000000000000000011111
     890.0ns 0 1 0 1 0 00000000000000000000000000011111
     895.0ns 1 1 0 1 0 00000000000000000000000000011111
     900.0ns 0 1 0 1 0 00000000000000000000000000011111
     905.0ns 1 1 0 1 0 00000000000000000000000000011111
     910.0ns 0 1 0 1 0 00000000000000000000000000011111
     915.0ns 1 1 0 1 0 00000000000000000000000000011111
     920.0ns 0 1 0 1 0 00000000000000000000000000011111
     925.0ns 1 1 0 1 0 00000000000000000000000000011111
     930.0ns 0 1 0 1 0 00000000000000000000000000011111
     935.0ns 1 1 0 1 0 00000000000000000000000000011111
     940.0ns 0 1 0 1 0 00000000000000000000000000011111
     945.0ns 1 1 0 1 0 00000000000000000000000000011111
     950.0ns 0 1 0 1 0 00000000000000000000000000011111
     955.0ns 1 1 0 1 0 00000000000000000000000000011111
     960.0ns 0 1 0 1 0 00000000000000000000000000011111
     965.0ns 1 1 0 1 0 00000000000000000000000000011111
     970.0ns 0 1 0 1 0 00000000000000000000000000011111
     975.0ns 1 1 0 1 0 00000000000000000000000000011111
     980.0ns 0 1 0 1 0 00000000000000000000000000011111
     985.0ns 1 1 0 1 0 00000000000000000000000000011111
     990.0ns 0 1 0 1 0 00000000000000000000000000011111
     995.0ns 1 1 0 1 0 00000000000000000000000000011111
    1000.0ns 0 1 0 1 0 00000000000000000000000000011111
 Time Clk Rstb Valid Ready Last Data
       0.0ns 0 0 0 1 0 00000000000000000000000000000000
       5.0ns 1 0 0 1 0 00000000000000000000000000000000
      10.0ns 0 0 0 1 0 00000000000000000000000000000000
